TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
MICEXINDEXCF,2014-11-21,1530.46,1541.52,1515.01,1538.93,,
MICEXINDEXCF,2014-11-24,1539.95,1541.75,1521.83,1529.54,,
MICEXINDEXCF,2014-11-25,1529.62,1537.65,1516.18,1529.57,,
MICEXINDEXCF,2014-11-26,1528.83,1537.43,1522.5,1537.43,,
MICEXINDEXCF,2014-11-27,1537,1548.17,1528.06,1531.69,,
MICEXINDEXCF,2014-11-28,1531.34,1540.07,1518.45,1533.68,,
MICEXINDEXCF,2014-12-01,1532.89,1598.19,1525.35,1578.38,,
MICEXINDEXCF,2014-12-02,1578.4,1596.96,1555.89,1583.12,,
MICEXINDEXCF,2014-12-03,1583.62,1608.92,1578.93,1606.84,,
MICEXINDEXCF,2014-12-04,1606.75,1623.02,1577.7,1582.08,,
MICEXINDEXCF,2014-12-05,1581.89,1586.6,1528.65,1529.2,,
MICEXINDEXCF,2014-12-08,1529.73,1551.66,1476.02,1481.27,,
MICEXINDEXCF,2014-12-09,1481.49,1490.27,1459.77,1475.22,,
MICEXINDEXCF,2014-12-10,1475.93,1514.63,1475.93,1486.85,,
MICEXINDEXCF,2014-12-11,1486.89,1494.07,1442.79,1455.04,,
MICEXINDEXCF,2014-12-12,1453.8,1488.4,1413.04,1459.68,,
MICEXINDEXCF,2014-12-15,1459.25,1483.38,1402.83,1424.99,,
MICEXINDEXCF,2014-12-16,1424.72,1484.06,1309.6,1444.32,,
MICEXINDEXCF,2014-12-17,1445.53,1476.19,1389.63,1413.79,,
MICEXINDEXCF,2014-12-18,1417.41,1506.13,1417.41,1477.27,,
MICEXINDEXCF,2014-12-19,1477.36,1488.34,1417.68,1449.13,,
MICEXINDEXCF,2014-12-22,1452.95,1466.34,1421.39,1437.08,,
MICEXINDEXCF,2014-12-23,1437.08,1446.31,1391.38,1398.2,,
MICEXINDEXCF,2014-12-24,1398.2,1411.56,1383.61,1401.5,,
MICEXINDEXCF,2014-12-25,1401.47,1410.06,1383.91,1408.54,,
MICEXINDEXCF,2014-12-26,1409.02,1432.41,1409.02,1417.8,,
MICEXINDEXCF,2014-12-29,1417.53,1489.75,1409.1,1432.94,,
MICEXINDEXCF,2014-12-30,1429.68,1430.01,1378.54,1396.61,,
MICEXINDEXCF,2015-01-05,1394.66,1438.91,1390.53,1435.66,,
MICEXINDEXCF,2015-01-06,1435.39,1481.35,1430.47,1480.73,,
MICEXINDEXCF,2015-01-08,1482.12,1564.87,1481.93,1547.39,,
MICEXINDEXCF,2015-01-09,1547.61,1557.96,1496.17,1515.37,,
MICEXINDEXCF,2015-01-12,1515.23,1534.74,1503.49,1513.22,,
MICEXINDEXCF,2015-01-13,1513.21,1543.59,1499.57,1533.09,,
MICEXINDEXCF,2015-01-14,1531.65,1560.01,1524.69,1554.46,,
MICEXINDEXCF,2015-01-15,1556.96,1586.22,1555.36,1563.21,,
MICEXINDEXCF,2015-01-16,1563.21,1594.06,1551.01,1591.43,,
MICEXINDEXCF,2015-01-19,1590.54,1627.53,1572.94,1576.4,,
MICEXINDEXCF,2015-01-20,1576.47,1594.91,1561.8,1570.97,,
MICEXINDEXCF,2015-01-21,1570.59,1619.32,1570.59,1618.17,,
MICEXINDEXCF,2015-01-22,1618.68,1676.38,1618.52,1666.56,,
MICEXINDEXCF,2015-01-23,1667.99,1700.78,1662.11,1671.8,,
MICEXINDEXCF,2015-01-26,1670.23,1670.3,1622.02,1642.37,,
MICEXINDEXCF,2015-01-27,1642.31,1681.46,1614.16,1673.92,,
MICEXINDEXCF,2015-01-28,1675.3,1706.39,1643.42,1647.71,,
